Name,Surname
Cezar,Rogov
Artur,Zhukov
Trofim,Zuev
Yan,Artamonov
Yurij,Lukashenko
Zenon,Kotovskij
Platon,Panfilov
Lyubomir,Belyaev
Lyucij,Gromov
Hariton,Myasnikov
Shamil,Dementev
Tit,Panov
Gleb,Vasilev
Mihail,Fedorov
Eduard,Ivashenko
Vyacheslav,Ivaniv
Daniel,Efimov
Konrad,Kornev
Vsevolod,Dobrynin
Arsenij,Korotkov
Leon,Bespalov
Zufar,Gerasimov
Lev,Odincov
Dan,Tkachenko
Timofej,Gorlov
Stepan,Sokolov
Tihon,Kabanov
Donat,Pilipejko
Viktor,Chumakov
Rostislav,Uspenskij
Dmitrij,Prokofev
Pyotr,Merkulov
Jomer,Molchanov
Stanislav,Denisov
Sergej,Haritonov
Andrej,Gordeev
Marat,Kulikov
Miron,Pavlov
Lyudvig,Grigorev
Yulij,Konstantinov
Artyom,Chernyaev
Bronislav,Medyanik
Ananij,Borodaj
Gordej,Miklashevskij
Adam,Shaposhnikov
Zinovij,Nedbajlo
Jozef,Gladkov
Efim,Antonov
Emir,Semenov
Kuzma,Belousov
Vasilij,Goryachev
Spartak,Ryabov
Boris,Samsonov
Georgij,Tryasilo
Leopold,Shevchenko
Kristian,Timoshenko
Rafail,Karpov
Makar,Evseev
Nestor,Savelev
Boleslav,Fedotov
Afanasij,Maksimov
Valerij,Knyazev
Savva,Petuhov
Anton,Didovec
Nikolaj,Fedoseev
Cheslav,Abramov
Akim,Bondarev
Zhiger,Baranov
Kirill,Chikolba
Eremej,Ivanov
Robert,Lukyanov
Taras,Shvecov
Antonin,Borisenko
Nazar,Kozlov
Danil,Komarov
Oleg,Eliseev
Ilya,Lazarev
Klaus,Gurev
Vadim,Danilov
Zhdan,Matveev
Maksim,Plaksij
Jonas,Kulibaba
Prohor,Kruglov
Zigmund,Yudin
Albert,Markelov
Osip,Shapovalov
Roman,Shukin
Sava,Muravev
Aleksandr,Kocyubinskij
Miroslav,Rodionov
Apollon,Golubev
Ignat,Voronov
Vlad,Titov
Nikodim,Borisov
Konstantin,Doronin
Avgust,Kulakov
Anatolij,Kolesnikov
Vitold,Pozdnyakov
Yulian,Bogdanov
Ostap,Povalij
Grigorij,Mishin
Savelij,Panin
Erik,Kazakov
Bogdan,Yalovoj
Damir,Korolyov
Mark,Belov
Svyatoslav,Nikitin
Daniil,Vishnevskij
Radislav,Nikiforov
Iraklij,Ignatev
Ostin,Shuhevich
Aleksej,Orlov
Vladislav,Baranovskij
Ruslan,Egorov
Zakir,Chernyshev
Klim,Yakovenko
Charlz,Martynov
Vladimir,Davydov
Evstahij,Sirko
Luka,Leonov
Nikita,Kostin
Feliks,Kirillov
Vikentij,Galkin
Timur,Sotnikov
Emelyan,Medvedev
Filipp,Zolotarev
Yaroslav,Serdyuk
Fyodor,Voronkov
Arsen,Bobylyov
Rodion,Smirnov
Cefas,Gusev
Zherar,Miloslavskij
Jogan,Zvarych
Yaromir,Ostrozhskij
Ustin,Fedunkiv
Zahar,Krylov
Semyon,Strelkov
Serafim,Shestakov
Pavel,Mnogogreshnyj
Demid,Sklyarenko
Immanuil,Noskov
Ivan,Kondrashov
Ciceron,Nazarov
German,Starostin
David,Dyachkov
Josef,Andreev
Sherlok,Afanasev
Ogyust,Uvarov
Egor,Gorbunov
,Vorobev
,Kravchuk
,Belyakov
,Lavrentev
,Zaharov
,Trublaevskij
,Gushin
,Mironov
,Kotov
,Lebedev
,Popov
,Grinevskaya
,Bondarenko
,Kopylov
,Simonov
,Kochetov
,Salnikov
,Kalashnikov
,Predybajlo
,Safonov
,Evdokimov
,Moskvin
,Troickij
,Petrik
,Pasichnik
,Semochko
,Levin
,Fadeev
,Solovyov
,Chernyh
,Samojlov
,Osipov
,Pestov
,Savin
,Drozdov
,Grishin
,Nosov
,Shuvalov
,Sviridov
,Kolesnik
,Alekseev
,Emelyanov
,Zajcev
,Sherbakov
,Nechaev
,Kalinin
,Timofeev
,Lobanov
,Vorobyov
,Koshelev
,Sitnikov
,Kosarev
,Chervonij
,Navalnyj
,Semyonov
,Filippov
,Kudryavcev
,Dyakov
,Morozov
,Ovcharenko
,Linnik
,Golikov
,Sidorov
,Sergeev
,Kolcov
,Silin
,Yakovlev
,Tarasov
,Markov
,Subbotin
,Goncharov
,Nikolaev
,Ilin
,Aksyonov
,Artemov
,Shumilo
,Andrejko
,Tihonov
,Prohorov
,Gluhov
,Burov
,Kupriyanov
,Ryzhov
,Chumak
,Sobolev
,Karpenko-Karyj
,Gajchuk
,Konovalov
,Chebotarev
,Dubrovin
,Solovev
,Potapov
,Pastuhov
,Gribov
,Kovalev
,Pavlenko
,Ermolaev
,Polyakov
,Kireev
,Biryukov
,Shiryaev
,Simonenko
,Zhdanov
,Petrov
,Kaskiv
,Aleksandrov
,Susarenko
,Voronin
,Romanov
,Klimov
,Fokin
,Borodin
,Kuznecov
,Kiselev
,Mitrofanov
,Belkin
,Stepanov
,Shilov
,Kuzmin
,Hohlov
,Ovsyannikov
,Hudobyak
,Berdnik
,Mihajlov
,Alehin
,Temchenko
,Ustinov
,Sorokin
,Makarov
,Seleznyov
,Ponomaryov
,Ovchinnikov
,Efremov
,Komissarov
,Gorobchuk
,Yacenyuk
,Cherepanov
,Novikov
,Ermakov
,Polishuk
,Arhipov
,Yarovoj
,Kolesov
,Larionov
,Terentev
,Chernov
,Fomichyov
,Zotov
,Kulagin
,Tokarev
,Bulatov
