Name,Label
erer,0.0
Moscow,1.0
13op,0.0
Ilina,1.0
Tyumen,1.0
Bobrov,1.0
Ryazan,1.0
aspdjpasd,0.0
Mazajlo,1.0
Lukashenko,1.0
Valkovskij,1.0
kopedo,0.0
Miheeva,1.0
Karpenko-Karyj,1.0
Burov,1.0
Timoshenko,1.0
JKsaAsd,0.0
Pavlenko,1.0
Tarasyuk,1.0
iodfioj,0.0
Sazonov,1.0
kopefop,0.0
kak,0.0
Cheboksary,1.0
Orehov,1.0
Volgograd,1.0
Mahachkala,1.0
Nazarbaeev,1.0
Omsk,1.0
Kalinin,1.0
klsmk,0.0
Terenteva,1.0
Yaroslavl,1.0
Voronezh,1.0
Ekaterinburg,1.0
Fyodorov,1.0
klASKL,0.0
Krasnodar,1.0
krk,0.0
Saint Petersburg,1.0
Alekseev,1.0
21312,0.0
psdfuh,0.0
mkdfkm,0.0
rtrt,0.0
oe423o4,0.0
Shufrich,1.0
efwk,0.0
Vladivostok,1.0
qq,0.0
Bragin,1.0
Andruhovich,1.0
Novokuzneck,1.0
ASudsa,0.0
Egorova,1.0
Ponomarenko,1.0
ASDSAD,0.0
asjdASD,0.0
Sharov,1.0
Moiseev,1.0
asdp,0.0
Borodaj,1.0
Batejko,1.0
hioasi,0.0
Tkitjkasd,0.0
Yalovoj,1.0
Petrov,1.0
Baranovskij,1.0
Kirilenko,1.0
Ryabov,1.0
Saint-Peterburg,1.0
Uaskod,0.0
Legojda,1.0
Kondratev,1.0
Grinevskaya,1.0
opasdiop,0.0
ijwed,0.0
Semochko,1.0
sfkk,0.0
Sevastopol,1.0
Pilipejko,1.0
Nekrasova,1.0
Sergeeva,1.0
uigh12ui3,0.0
Wkdlaksd,0.0
Jkpklk,0.0
ioasefioj,0.0
Barnaul,1.0
jiopsdfdiopqw,0.0
Aleksandrov,1.0
Miklashevskij,1.0
[;'[';sef,0.0
Shamrylo,1.0
qwqwqqw,0.0
Dyachkova,1.0
Didovec,1.0
Penza,1.0
Mnatskanyan,1.0
Grabchak,1.0
Kemerovo,1.0
Sypchenko,1.0
Ivaniv,1.0
ASsdAd,0.0
Kaliningrad,1.0
Kuzmina,1.0
opjisd,0.0
Chelyabinsk,1.0
asdklASsd,0.0
Yakovenko,1.0
iosdjfiopj,0.0
Petriv,1.0
Lytkin,1.0
Vasilev,1.0
Frolov,1.0
Hovanska,1.0
Myasnikova,1.0
kapp[ad[,0.0
Rogova,1.0
Stavropol,1.0
Ovchinnikov,1.0
Pritula,1.0
Peredrij,1.0
Fedotov,1.0
Belousov,1.0
Geletej,1.0
Nedbajlo,1.0
asasd,0.0
Saratov,1.0
Krasinec,1.0
qqqqqqq,0.0
Blinov,1.0
Petersburg,1.0
///',0.0
AksaSD,0.0
Zhdanov,1.0
Simonov,1.0
opaskdA,0.0
4k12opk,0.0
Ostrozhskij,1.0
23j14i;,0.0
Sharapova,1.0
jisdjisd,0.0
asda,0.0
ijiopja,0.0
Linnik,1.0
1234,0.0
\',0.0
Navalnyj,1.0
Doronin,1.0
Susarenko,1.0
Kuzmin,1.0
Sysoeva,1.0
rtrt,0.0
perji,0.0
Vlasov,1.0
O[ll'dl;pad,0.0
Koshelev,1.0
Moscow,1.0
Kornejchuk,1.0
Andrusejko,1.0
adad,0.0
Turov,1.0
Shiryaev,1.0
Noskov,1.0
Orenburg,1.0
Masp[ld,0.0
Komissarov,1.0
Martynov,1.0
